"","Date","Baseline","Flux_SZegvary","Flux_Fit"
"1",2022-06-28 15:00:00,62.3970651707737,77.0350798449199,76.1899047739587
"2",2022-06-28 16:00:00,62.3759154144888,77.0140358374164,76.1370303832464
"3",2022-06-28 17:00:00,62.3547681034519,76.9929942629347,76.0841621056542
"4",2022-06-28 18:00:00,62.3336448149982,76.9719765909232,76.03135388452
"5",2022-06-28 19:00:00,62.3125707511567,76.9510078974009,75.9786687249161
"6",2022-06-28 20:00:00,62.2915648095935,76.9301069855456,75.9261538710082
"7",2022-06-28 21:00:00,62.2706217200314,76.9092686114312,75.8737961471028
"8",2022-06-28 22:00:00,62.2497028391792,76.8884543249833,75.8214989449722
"9",2022-06-28 23:00:00,62.2287397814912,76.8675960825838,75.7690913007525
"10",2022-06-29 00:00:00,62.2076619781256,76.846623668235,75.7163967923384
"11",2022-06-29 01:00:00,62.1864051527019,76.8254731269384,75.6632547287792
"12",2022-06-29 02:00:00,62.1649097375429,76.8040851888552,75.6095161908816
"13",2022-06-29 03:00:00,62.1431241005956,76.7824084800926,75.5550520985133
"14",2022-06-29 04:00:00,62.1210006131852,76.7603956101193,75.4997433799874
"15",2022-06-29 05:00:00,62.0984902954786,76.7379978440012,75.4434675857209
"16",2022-06-29 06:00:00,62.0755490889684,76.7151713435236,75.3861145694455
"17",2022-06-29 07:00:00,62.0521420307166,76.6918813205631,75.327596923816
"18",2022-06-29 08:00:00,62.0282497447527,76.6681084960289,75.2678662089061
"19",2022-06-29 11:00:00,61.9535796357128,76.5938117375343,75.0811909363065
"20",2022-06-29 12:00:00,61.9277647597472,76.5681259359484,75.0166537463923
"21",2022-06-29 13:00:00,61.9016466537204,76.5421384204518,74.9513584813253
"22",2022-06-29 14:00:00,61.8755005026199,76.5161230001068,74.8859931035741
"23",2022-06-29 15:00:00,61.8498847178906,76.4906352943011,74.8219536417509
"24",2022-06-29 16:00:00,61.8187738038945,76.459679934875,74.7441763567607
"25",2022-06-29 17:00:00,61.7834559140309,76.4245386344608,74.6558816321018
"26",2022-06-29 18:00:00,61.741687871518,76.3829794321604,74.5514615258193
"27",2022-06-29 19:00:00,61.6916394270018,76.3331812298668,74.4263404145288
"28",2022-06-29 20:00:00,61.6329072750002,76.2747427386252,74.2795100345248
"29",2022-06-29 21:00:00,61.5666381344818,76.2088049438094,74.113837183229
"30",2022-06-29 22:00:00,61.4952386348498,76.1377624416756,73.935338434149
"31",2022-06-29 23:00:00,61.4214042372636,76.0642972160773,73.7507524401834
"32",2022-06-30 00:00:00,61.3473634719058,75.9906266545462,73.5656505267888
"33",2022-06-30 01:00:00,61.2745210070071,75.9181484019721,73.3835443645422
"34",2022-06-30 02:00:00,61.2035610674075,75.8475432620705,73.2061445155432
"35",2022-06-30 03:00:00,61.1347280802241,75.779054439823,73.0340620475848
"36",2022-06-30 04:00:00,61.0679056943216,75.71256616585,72.8670060828283
"37",2022-06-30 05:00:00,61.002725344444,75.6477117177217,72.7040552081343
"38",2022-06-30 06:00:00,60.9387007361819,75.584007232501,72.5439936874791
"39",2022-06-30 07:00:00,60.8753001279429,75.5209236273031,72.3854921668815
"40",2022-06-30 08:00:00,60.812074223906,75.4580138527865,72.2274274067894
"41",2022-06-30 09:00:00,60.7485088021123,75.3947662581018,72.0685138523052
"42",2022-06-30 10:00:00,60.6699830794425,75.3166331640453,71.8721995456307
"43",2022-06-30 11:00:00,60.6033886539957,75.2503717107257,71.7057134820136
"44",2022-06-30 12:00:00,60.535552232722,75.1828744715584,71.5361224288294
"45",2022-06-30 13:00:00,60.4668438482479,75.1145096290067,71.3643514676442
"46",2022-06-30 14:00:00,60.3977832951269,75.0457943786512,71.1917000848415
"47",2022-06-30 15:00:00,60.3292219103263,74.9775758007747,71.0202966228402
"48",2022-06-30 16:00:00,60.2621113127751,74.9108007562113,70.8525201289622
"49",2022-06-30 17:00:00,60.1971682856782,74.8461824442498,70.6901625612199
"50",2022-06-30 18:00:00,60.1349611548829,74.7842863491085,70.5346447342316
"51",2022-06-30 19:00:00,60.0760365001901,74.7256563176892,70.3873330974996
"52",2022-06-30 20:00:00,60.0209524087571,74.6708476467133,70.2496228689171
"53",2022-06-30 21:00:00,59.9705092061691,74.6206566601382,70.123514862447
"54",2022-06-30 22:00:00,59.9259201226764,74.576290522063,70.0120421537153
"55",2022-06-30 23:00:00,59.8883280554748,74.5388864151974,69.9180619857113
"56",2022-07-01 00:00:00,59.8584013635774,74.5091093567595,69.8432452559678
"57",2022-07-01 01:00:00,59.8363031921166,74.4871216761561,69.787999827316
"58",2022-07-01 02:00:00,59.8219681205011,74.4728582798986,69.7521621482771
"59",2022-07-01 03:00:00,59.8155554108504,74.4664776337962,69.7361303741504
"60",2022-07-01 04:00:00,59.8175284276815,74.4684407855431,69.7410629162281
"61",2022-07-01 05:00:00,59.8283082918306,74.4791667503715,69.7680125766009
"62",2022-07-01 06:00:00,59.8476159327546,74.4983778530908,69.8162816789109
"63",2022-07-01 07:00:00,59.8744636412048,74.5250913229988,69.8834009500365
"64",2022-07-01 08:00:00,59.9073461921565,74.5578094611957,69.9656073274157
"65",2022-07-01 09:00:00,59.9444835995016,74.5947611815041,70.0584508457785
"66",2022-07-01 10:00:00,59.9841358847394,74.6342152053157,70.1575815588728
"67",2022-07-01 11:00:00,60.0247648698653,74.674641045516,70.2591540216876
"68",2022-07-01 12:00:00,60.0652431631933,74.7149169473773,70.3603497550076
"69",2022-07-01 13:00:00,60.1047688303456,74.7542449861938,70.4591639228883
