Time,Radon,Error,Radon* (fast),Error
27/10/2021 0:10,730,42,504,75
27/10/2021 0:40,503,52,710,60
27/10/2021 1:10,453,50,207,100
27/10/2021 1:40,340,58,413,71
27/10/2021 2:10,113,100,207,100
27/10/2021 2:40,340,58,413,71
27/10/2021 3:10,0,0,0,0
27/10/2021 3:40,0,0,0,0
27/10/2021 4:10,227,71,0,0
27/10/2021 4:40,0,0,0,0
27/10/2021 5:10,276,75,0,0
27/10/2021 5:40,503,52,504,75
27/10/2021 6:10,340,58,413,71
27/10/2021 6:40,0,0,0,0
27/10/2021 7:10,680,41,1240,41
27/10/2021 7:40,616,46,710,60
27/10/2021 8:10,793,38,1033,45
27/10/2021 8:40,0,0,0,0
27/10/2021 9:10,340,58,0,0
27/10/2021 9:40,0,0,0,0
27/10/2021 10:10,0,0,0,0
27/10/2021 10:40,227,71,413,71
27/10/2021 11:10,340,58,207,100
27/10/2021 11:40,0,0,0,0
27/10/2021 12:10,390,60,710,60
27/10/2021 12:40,0,0,0,0
27/10/2021 13:10,113,100,207,100
27/10/2021 13:40,0,0,0,0
27/10/2021 14:10,567,45,827,50
27/10/2021 14:40,907,35,827,50
27/10/2021 15:10,390,60,0,0
27/10/2021 15:40,1070,34,917,52
27/10/2021 16:10,843,39,917,52
27/10/2021 16:40,453,50,207,100
27/10/2021 17:10,227,71,413,71
27/10/2021 17:40,390,60,0,0
27/10/2021 18:10,390,60,0,0
27/10/2021 18:40,227,71,413,71
27/10/2021 19:10,113,100,0,0
27/10/2021 19:40,0,0,0,0
27/10/2021 20:10,340,58,207,100
27/10/2021 20:40,113,100,207,100
27/10/2021 21:10,227,71,413,71
27/10/2021 21:40,0,0,0,0
27/10/2021 22:10,1020,33,1447,38
27/10/2021 22:40,0,0,0,0
27/10/2021 23:10,616,46,710,60
27/10/2021 23:40,843,39,504,75
28/10/2021 0:10,567,45,827,50
28/10/2021 0:40,276,75,0,0
28/10/2021 1:10,390,60,0,0
28/10/2021 1:40,227,71,413,71
28/10/2021 2:10,0,0,0,0
28/10/2021 2:40,113,100,207,100
28/10/2021 3:10,276,75,0,0
28/10/2021 3:40,0,0,0,0
28/10/2021 4:10,0,0,0,0
28/10/2021 4:40,0,0,0,0
28/10/2021 5:10,276,75,0,0
28/10/2021 5:40,0,0,0,0
28/10/2021 6:10,0,0,0,0
28/10/2021 6:40,793,38,1240,41
28/10/2021 7:10,616,46,710,60
28/10/2021 7:40,907,35,827,50
28/10/2021 8:10,453,50,207,100
