"","dates","obs","Rn_noah","obs_era","Rn_era"
"1",2021-01-01,0.014703250490129,14.703250490129,0.00709684705361724,7.09684705361724
"2",2021-01-02,0.0151388244703412,15.1388244703412,0.0072108106687665,7.2108106687665
"3",2021-01-03,0.0155859850347042,15.5859850347042,0.00697367591783404,6.97367591783404
"4",2021-01-04,0.0154937729239464,15.4937729239464,0.00701747555285692,7.01747555285692
"5",2021-01-05,0.0158561673015356,15.8561673015356,0.0071780476719141,7.1780476719141
"6",2021-01-06,0.0163849499076605,16.3849499076605,0.00770833715796471,7.70833715796471
"7",2021-01-07,0.0169930104166269,16.9930104166269,0.0083382735028863,8.3382735028863
"8",2021-01-08,0.0175644904375076,17.5644904375076,0.00903619173914194,9.03619173914194
"9",2021-01-09,0.0153846899047494,15.3846899047494,0.00956445373594761,9.56445373594761
"10",2021-01-10,0.0161268096417189,16.1268096417189,0.00944542977958918,9.44542977958918
"11",2021-01-11,0.016594810411334,16.594810411334,0.00950404070317745,9.50404070317745
"12",2021-01-12,0.0169996283948421,16.9996283948421,0.00954520609229803,9.54520609229803
"13",2021-01-13,0.0172134041786194,17.2134041786194,0.00954901054501534,9.54901054501534
"14",2021-01-14,0.0173692740499973,17.3692740499973,0.00965103693306446,9.65103693306446
"15",2021-01-15,0.0174949392676353,17.4949392676353,0.00947306212037802,9.47306212037802
"16",2021-01-16,0.0177190192043781,17.7190192043781,0.00995594076812267,9.95594076812267
"17",2021-01-17,0.017752768471837,17.752768471837,0.0103898141533136,10.3898141533136
"18",2021-01-18,0.0178056843578815,17.8056843578815,0.0105658993124962,10.5658993124962
"19",2021-01-19,0.0179522056132555,17.9522056132555,0.0110348984599113,11.0348984599113
"20",2021-01-20,0.014835893176496,14.835893176496,0.0115926126018167,11.5926126018167
"21",2021-01-21,0.0156290847808123,15.6290847808123,0.0118720876052976,11.8720876052976
"22",2021-01-22,0.0163613371551037,16.3613371551037,0.0106482533738017,10.6482533738017
"23",2021-01-23,0.0135163059458137,13.5163059458137,0.0094927717000246,9.4927717000246
"24",2021-01-24,0.0146169643849134,14.6169643849134,0.00799468345940113,7.99468345940113
"25",2021-01-25,0.0125765176489949,12.5765176489949,0.00761280860751867,7.61280860751867
"26",2021-01-26,0.0136856762692332,13.6856762692332,0.00840239878743887,8.40239878743887
"27",2021-01-27,0.0145364077761769,14.5364077761769,0.00817679706960917,8.17679706960917
"28",2021-01-28,0.0144335264340043,14.4335264340043,0.00902898237109184,9.02898237109184
"29",2021-01-29,0.0142096877098083,14.2096877098083,0.00977265276014805,9.77265276014805
"30",2021-01-30,0.0127023858949542,12.7023858949542,0.00899938214570284,8.99938214570284
"31",2021-01-31,0.0142871225252748,14.2871225252748,0.00775479711592197,7.75479711592197
"32",2021-02-01,0.0148979797959328,14.8979797959328,0.0083836680278182,8.3836680278182
"33",2021-02-02,0.0150502780452371,15.0502780452371,0.00885227508842945,8.85227508842945
"34",2021-02-03,0.0155169516801834,15.5169516801834,0.00956678949296474,9.56678949296474
"35",2021-02-04,0.0152361709624529,15.2361709624529,0.0100212171673775,10.0212171673775
"36",2021-02-05,0.0151243386790156,15.1243386790156,0.00844627991318703,8.44627991318703
"37",2021-02-06,0.0147546846419573,14.7546846419573,0.00534319411963224,5.34319411963224
"38",2021-02-07,0.0133104119449854,13.3104119449854,0.00689286785200238,6.89286785200238
"39",2021-02-08,0.0135281123220921,13.5281123220921,0.00766010815277696,7.66010815277696
"40",2021-02-09,0.0135490028187633,13.5490028187633,0.00829201005399227,8.29201005399227
"41",2021-02-10,0.013023504987359,13.023504987359,0.0083258543163538,8.3258543163538
"42",2021-02-11,0.0139665976166725,13.9665976166725,0.00902650039643049,9.02650039643049
"43",2021-02-12,0.0143280355259776,14.3280355259776,0.00797898322343826,7.97898322343826
"44",2021-02-13,0.0141614777967334,14.1614777967334,0.00810323189944029,8.10323189944029
"45",2021-02-14,0.0151543393731117,15.1543393731117,0.0091146444901824,9.1146444901824
"46",2021-02-15,0.0158186256885529,15.8186256885529,0.0101967500522733,10.1967500522733
"47",2021-02-16,0.0157353319227695,15.7353319227695,0.0110727790743113,11.0727790743113
"48",2021-02-17,0.016158040612936,16.158040612936,0.0115046296268702,11.5046296268702
"49",2021-02-18,0.0165011510252953,16.5011510252953,0.0118119409307837,11.8119409307837
"50",2021-02-19,0.0159137733280659,15.9137733280659,0.0119566656649113,11.9566656649113
"51",2021-02-20,0.0141108669340611,14.1108669340611,0.0127678448334336,12.7678448334336
"52",2021-02-21,0.0138349141925573,13.8349141925573,0.0128851849585772,12.8851849585772
"53",2021-02-22,0.0144931636750698,14.4931636750698,0.0086895814165473,8.6895814165473
"54",2021-02-23,0.0148074412718415,14.8074412718415,0.00970552861690521,9.70552861690521
"55",2021-02-24,0.0158720389008522,15.8720389008522,0.0108058471232653,10.8058471232653
"56",2021-02-25,0.0160019006580114,16.0019006580114,0.0115483123809099,11.5483123809099
"57",2021-02-26,0.0160586256533861,16.0586256533861,0.0118463048711419,11.8463048711419
"58",2021-02-27,0.0164702851325274,16.4702851325274,0.0122066084295511,12.2066084295511
"59",2021-02-28,0.0167942326515913,16.7942326515913,0.0125580253079534,12.5580253079534
"60",2021-03-01,0.0170723646879196,17.0723646879196,0.011696676723659,11.696676723659
"61",2021-03-02,0.0175059586763382,17.5059586763382,0.0124927014112473,12.4927014112473
"62",2021-03-03,0.0178595874458551,17.8595874458551,0.0130608370527625,13.0608370527625
"63",2021-03-04,0.0180937331169844,18.0937331169844,0.0135934473946691,13.5934473946691
